date,methanol_CFR_china_average_weekly
1396/01/23,300.00
1396/01/31,277.00
1396/02/07,280.00
1396/02/14,269.00
1396/02/22,259.00
1396/02/29,262.00
1396/03/06,264.00
1396/03/13,261.00
1396/03/20,264.00
1396/03/27,265.00
1396/04/03,278.00
1396/04/10,275.00
1396/04/17,279.00
1396/04/24,281.00
1396/04/31,284.00
1396/05/07,277.00
1396/05/14,280.00
1396/05/21,285.00
1396/05/28,287.00
1396/06/04,300.00
1396/06/11,316.00
1396/06/18,343.00
1396/06/25,360.00
1396/07/01,348.00
1396/07/08,337.00
1396/07/22,337.00
1396/07/29,334.00
1396/08/06,340.00
1396/08/13,339.20
1396/08/20,343.40
1396/08/27,359.60
1396/09/04,370.20
1396/09/11,374.80
1396/09/18,385.60
1396/09/25,404.60
1396/10/02,415.60
1396/10/16,412.25
1396/10/23,416.20
1396/10/30,400.60
1396/11/07,398.00
1396/11/14,394.40
1396/11/21,388.00
1396/11/28,383.75
1396/12/05,382.40
1396/12/11,382.40
1396/12/18,367.60
1396/12/27,367.60
1397/01/09,371.25
1397/01/19,365.50
1397/01/24,371.60
1397/01/31,382.40
1397/02/09,389.20
1397/02/14,397.75
1397/02/21,405.00
1397/02/30,415.00
1397/03/06,409.20
1397/03/11,408.50
1397/03/20,406.00
1397/03/25,400.25
1397/04/03,398.00
1397/04/10,398.00
1397/04/15,398.20
1397/04/24,390.80
1397/04/30,386.20
1397/05/07,390.20
1397/05/12,396.00
1397/05/19,395.50
1397/05/28,395.60
1397/06/02,397.50
1397/06/09,399.30
1397/06/16,399.00
1397/06/23,402.00
1397/06/30,405.40
1397/07/06,409.50
1397/07/13,411.00
1397/07/20,419.20
1397/07/27,423.80
1397/08/02,421.80
1397/08/18,378.75
1397/08/25,335.00
1397/09/2,306.20
1397/09/09,277.80
1397/09/18,278.00
1397/09/23,263.67
1397/09/30,267.60
1397/10/14,271.60
1397/10/21,269.00
1397/10/27,275.00
1397/11/05,278.00
1397/11/12,291.00
1397/11/19,292.00
1397/11/26,285.00
1397/12/03,285.00
1397/12/14,287.40
1397/12/17,297.20
1397/12/24,304.60
1398/01/02,299.80
1397/12/17,297.20
1397/12/24,304.60
1398/01/02,299.80
1398/01/16,293.60
1398/01/23,299.00
1398/1/30,290.00
1398/2/6,283.60
1398/2/13,279.25
1398/2/20,280.80
1398/2/27,279.00
1398/3/3,280.00
1398/3/10,275.80
1398/3/17,263.50
1398/3/24,264.40
1398/3/31,266.60
1398/4/7,265.60
1398/4/14,264.60
1398/4/21,260.80
1398/4/28,251.60
1398/5/4,238.80
1398/5/11,232.00
1398/5/18,239.00
1398/5/25,233.00
1398/6/2,229.00
1398/6/9,226.00
1398/6/16,226.00
1398/6/23,227.67
1398/6/30,231.00
1398/7/7,238.00
1398/7/14,240.00
1398/7/21,241.00
1398/7/28,239.00
