time,PMI china,Crude Oil (petroleum); West Texas Intermediate - Monthly Price,"investment of real estate,
 accumulated (100 milion yuan)","Value of Export Delivery of Manufacture of Raw Chemical Materials and Chemical Products, Current Period(100 million yuan)","Natural Gas - Monthly Price- spot price at Henry Hub, Louisiana- per MMBTU",methanol spot price RMB
31-Mar-14,50.30,100.57,15339.24,366.70,4.88,2662.00
30-Apr-14,50.40,102.08,22321.56,350.10,4.63,2512.00
31-May-14,50.80,101.86,30738.58,370.80,4.56,2472.00
30-Jun-14,51.00,105.24,42018.62,383.60,4.57,2437.00
31-Jul-14,51.70,102.94,50381.25,374.00,4.01,2463.00
31-Aug-14,51.10,96.38,58974.51,369.50,3.88,2578.00
30-Sep-14,51.10,93.22,68751.21,388.10,3.92,2463.00
31-Oct-14,50.80,84.40,77220.27,380.90,3.77,2456.00
30-Nov-14,50.30,75.81,86601.36,390.20,4.10,2090.00
31-Dec-14,50.10,59.26,95035.61,417.90,3.43,1876.00
31-Jan-15,49.80,47.27,9503.56,375.47,2.97,2050.00
28-Feb-15,49.90,50.61,8786.36,375.47,2.85,2160.00
31-Mar-15,50.10,47.78,16650.64,366.60,2.80,2318.00
30-Apr-15,50.10,54.44,23669.04,344.00,2.58,2326.00
31-May-15,50.20,59.27,32291.84,357.70,2.84,2316.00
30-Jun-15,50.20,59.80,43954.95,367.30,2.77,2128.00
31-Jul-15,50.00,50.90,52562.22,347.40,2.83,1908.00
31-Aug-15,49.70,42.86,61062.54,332.00,2.76,1900.00
30-Sep-15,49.80,45.45,70535.07,342.20,2.65,1830.00
31-Oct-15,49.80,46.20,78800.74,341.10,2.32,1834.00
30-Nov-15,49.60,42.70,87702.38,362.40,2.08,1718.00
31-Dec-15,49.70,37.23,95978.85,410.20,1.92,1696.00
31-Jan-16,49.40,31.54,9597.89,375.47,2.27,1738.00
29-Feb-16,49.00,30.39,9051.79,375.47,1.96,1890.00
31-Mar-16,50.20,37.77,17676.62,345.00,1.70,1902.00
30-Apr-16,50.10,40.96,25375.64,331.40,1.90,1860.00
31-May-16,50.10,46.73,34564.11,377.40,1.92,1844.00
30-Jun-16,50.00,48.75,46630.52,391.90,2.57,1788.00
31-Jul-16,49.90,44.69,55360.50,347.80,2.79,1785.00
31-Aug-16,50.40,44.75,64386.74,344.70,2.79,1934.00
30-Sep-16,50.40,45.20,74597.59,379.90,2.97,2282.00
31-Oct-16,51.20,49.89,83974.61,357.50,2.95,2410.00
30-Nov-16,51.70,45.57,93387.08,382.80,2.50,2878.00
31-Dec-16,51.40,52.01,102581.00,422.30,3.58,2720.00
31-Jan-17,51.30,52.51,10258.10,375.47,3.26,2860.00
28-Feb-17,51.60,53.40,9854.34,375.47,2.82,2564.00
31-Mar-17,51.80,49.58,19291.92,398.70,2.87,2440.00
30-Apr-17,51.20,51.06,27731.58,378.20,3.08,2310.00
31-May-17,51.20,48.50,37594.68,429.00,3.12,2196.00
30-Jun-17,51.70,45.17,50610.22,452.90,2.94,2260.00
31-Jul-17,51.40,46.65,59761.08,397.20,2.96,2612.00
31-Aug-17,51.70,48.03,69493.88,407.30,2.88,2746.00
30-Sep-17,52.40,49.83,80644.45,422.10,2.96,2719.00
31-Oct-17,51.60,51.56,90544.36,393.10,2.87,3125.00
30-Nov-17,51.80,56.65,100386.55,414.10,2.99,3298.00
31-Dec-17,51.60,57.94,109798.53,445.00,2.76,2986.25
31-Jan-18,51.30,63.67,10979.85,375.47,3.88,2610.00
28-Feb-18,50.30,62.17,10831.09,375.47,2.67,2730.00
31-Mar-18,51.50,62.76,21291.29,391.60,2.69,2922.50
30-Apr-18,51.40,66.32,30591.95,371.70,2.76,2938.75
31-May-18,51.90,69.98,41420.27,393.90,2.78,2722.50
30-Jun-18,51.50,67.52,55530.96,398.50,2.94,2793.75
31-Jul-18,51.20,70.84,65885.71,377.40,2.80,3015.00
31-Aug-18,51.30,67.99,76518.84,381.80,2.96,3271.25
30-Sep-18,50.80,70.21,88665.04,403.00,3.00,3195.00
31-Oct-18,50.20,70.75,99324.92,366.30,3.29,2387.50
30-Nov-18,50.00,56.67,110083.00,377.90,4.14,2188.00
31-Dec-18,49.40,48.95,120263.51,401.60,3.95,2212.00
31-Jan-19,49.50,51.52,12026.35,375.47,3.08,2430.00
28-Feb-19,49.20,54.95,12089.84,375.47,2.72,2378.00
31-Mar-19,50.50,58.15,23802.92,361.80,2.94,2174.00
30-Apr-19,50.10,63.87,34217.45,340.00,2.65,2334.00
31-May-19,49.40,60.84,46074.89,343.10,2.63,2180.00
30-Jun-19,49.40,54.68,61609.30,340.10,2.40,1970.00
31-Jul-19,49.70,57.52,72843.12,338.20,2.36,1994.00
31-Aug-19,49.50,54.84,84589.06,313.00,2.22,2310.00
30-Sep-19,49.80,56.95,98007.67,321.10,2.58,2174.00
