دوره منتهی به ,۱۳۹۸/۰۳/۳۱,۱۳۹۷/۰۳/۳۱,۱۳۹۷/۱۲/۲۹
درآمدهای عملیاتی,22902463,10134002,73845433
بهای تمام ‌شده درآمدهای عملیاتی,-7489906,-4761630,-29833190
سود (زیان) ناخالص,15412557,5372372,44012243
"هزینه‌های فروش، اداری و عمومی",-3644270,-1197587,-10499423
سایر درآمدهای عملیاتی,2964548,0,1194254
سایر هزینه‌های عملیاتی,0,-34542,0
سود (زیان) عملیاتی,14732835,4140243,34707074
هزینه‌های مالی,0,0,0
سایر درآمدها و هزینه‌های غیرعملیاتی- درآمد سرمایه‌گذاری‌ها,164539,187215,841201
سایر درآمدها و هزینه‌های غیرعملیاتی- اقلام متفرقه,2024817,5389,1947969
سود (زیان) عملیات در حال تداوم قبل از مالیات,16922191,4332847,37496244
مالیات بر درآمد,0,0,-196171
سود (زیان) خالص عملیات در حال تداوم,16922191,4332847,37300073
سود (زیان) عملیات متوقف ‌شده پس از اثر مالیاتی,0,0,0
سود (زیان) خالص,16922191,4332847,37300073
سود (زیان) پایه هر سهم,,,
سود (زیان) پایه هر سهم ناشی از عملیات در حال تداوم- عملیاتی,6139,1725,14461
سود (زیان) پایه هر سهم ناشی از عملیات در حال تداوم- غیرعملیاتی,912,80,1081
سود (زیان) پایه هر سهم ناشی از عملیات متوقف‌ شده,0,0,0
سود (زیان) پایه هر سهم,7051,1805,15542
سود (زیان) تقلیل یافته هر سهم,,,
سود (زیان) تقلیل یافته هر سهم ناشی از عملیات در حال تداوم- عملیاتی,0,0,0
سود (زیان) تقلیل یافته هر سهم ناشی از عملیات در حال تداوم- غیرعملیاتی,0,0,0
سود (زیان) تقلیل یافته هر سهم ناشی از عملیات متوقف ‌شده,0,0,0
سود (زیان) تقلیل یافته هر سهم,0,0,0
گردش حساب سود (زیان) انباشته,,,
سود (زیان) خالص,16922191,4332847,37300073
سود (زیان) انباشته ابتدای دوره,38315265,18775192,18775192
تعدیلات سنواتی,0,0,0
سود (زیان) انباشته ابتدای دوره تعدیل ‌شده,38315265,18775192,18775192
سود سهام‌ مصوب,-35040000,-17760000,-17760000
تغییرات سرمایه از محل سود (زیان) انباشته,0,0,0
سود (زیان) انباشته ابتدای دوره تخصیص نیافته,3275265,1015192,1015192
انتقال از سایر اقلام حقوق صاحبان سهام,0,0,0
سود قابل تخصیص,20197456,5348039,38315265
انتقال به اندوخته‌ قانوني‌,0,0,0
انتقال به سایر اندوخته‌ها,0,0,0
سود (زیان) انباشته‌ پايان‌ دوره,20197456,5348039,38315265
سود (زیان) خالص هر سهم– ریال,7051,1805,15542
سرمایه,2400000,2400000,2400000
