time,PMI china,crude_oil_brent,Crude Oil (petroleum); West Texas Intermediate - Monthly Price,"crude_oil_petroleum(average of brent, WTI and dubai)",Ratio of crude oil and natural gas,"investment of real estate,
 accumulated (100 milion yuan)","Value of Export Delivery of Manufacture of Raw Chemical Materials and Chemical Products, Current Period(100 million yuan)","Natural Gas - Monthly Price- spot price at Henry Hub, Louisiana",methanol spot price RMB,methanol CFR china (average monthly)
28-Feb-14,50.20000,108.81000,100.73000,104.83000,16.87270,,,5.97000,2752.00000,387.00000
31-Mar-14,50.30000,107.40000,100.57000,104.04000,20.60861,15339.24000,366.70000,4.88000,2598.00000,380.00000
30-Apr-14,50.40000,107.79000,102.08000,104.87000,22.04752,22321.56000,350.10000,4.63000,2662.00000,375.00000
31-May-14,50.80000,109.68000,101.86000,105.71000,22.33772,30738.58000,370.80000,4.56000,2512.00000,350.00000
30-Jun-14,51.00000,111.87000,105.24000,108.37000,23.02845,42018.62000,383.60000,4.57000,2472.00000,348.00000
31-Jul-14,51.70000,106.98000,102.94000,105.23000,25.67082,50381.25000,374.00000,4.01000,2437.00000,340.00000
31-Aug-14,51.10000,101.92000,96.38000,100.05000,24.84021,58974.51000,369.50000,3.88000,2463.00000,347.00000
30-Sep-14,51.10000,97.34000,93.22000,95.85000,23.78061,68751.21000,388.10000,3.92000,2578.00000,355.75291
31-Oct-14,50.80000,87.27000,84.40000,86.08000,22.38727,77220.27000,380.90000,3.77000,2463.00000,364.17326
30-Nov-14,50.30000,78.44000,75.81000,76.99000,18.49024,86601.36000,390.20000,4.10000,2456.00000,339.25001
31-Dec-14,50.10000,62.33000,59.26000,60.70000,17.27697,95035.61000,417.90000,3.43000,2090.00000,280.57295
31-Jan-15,49.80000,48.07000,47.27000,47.11000,15.91582,9503.56100,375.47368,2.97000,1876.00000,240.44056
28-Feb-15,49.90000,57.93000,50.61000,54.79000,17.75789,8786.36000,375.47368,2.85000,2050.00000,256.08115
31-Mar-15,50.10000,55.79000,47.78000,52.83000,17.06429,16650.64000,366.60000,2.80000,2160.00000,271.72174
30-Apr-15,50.10000,59.39000,54.44000,57.54000,21.10078,23669.04000,344.00000,2.58000,2318.00000,307.14103
31-May-15,50.20000,64.56000,59.27000,62.51000,20.86972,32291.84000,357.70000,2.84000,2326.00000,332.33917
30-Jun-15,50.20000,62.34000,59.80000,61.31000,21.58845,43954.95000,367.30000,2.77000,2316.00000,316.01203
31-Jul-15,50.00000,55.87000,50.90000,54.34000,17.98587,52562.22000,347.40000,2.83000,2128.00000,301.51924
31-Aug-15,49.70000,46.99000,42.86000,45.69000,15.52899,61062.54000,332.00000,2.76000,1908.00000,262.65896
30-Sep-15,49.80000,47.24000,45.45000,46.28000,17.15094,70535.07000,342.20000,2.65000,1900.00000,233.95285
31-Oct-15,49.80000,48.12000,46.20000,46.96000,19.91379,78800.74000,341.10000,2.32000,1830.00000,231.67250
30-Nov-15,49.60000,44.42000,42.70000,43.11000,20.52885,87702.38000,362.40000,2.08000,1834.00000,237.31395
31-Dec-15,49.70000,37.72000,37.23000,36.57000,19.39063,95978.85000,410.20000,1.92000,1718.00000,218.41728
31-Jan-16,49.40000,30.80000,31.54000,29.78000,13.89427,9597.88500,375.47368,2.27000,1696.00000,204.66611
29-Feb-16,49.00000,33.20000,30.39000,31.03000,15.50510,9051.79000,375.47368,1.96000,1738.00000,211.29090
31-Mar-16,50.20000,39.07000,37.77000,37.34000,22.21765,17676.62000,345.00000,1.70000,1890.00000,217.91570
30-Apr-16,50.10000,42.25000,40.96000,40.75000,21.55789,25375.64000,331.40000,1.90000,1902.00000,226.80988
31-May-16,50.10000,47.13000,46.73000,45.94000,24.33854,34564.11000,377.40000,1.92000,1860.00000,230.15440
30-Jun-16,50.00000,48.48000,48.75000,47.69000,18.96887,46630.52000,391.90000,2.57000,1844.00000,229.97156
31-Jul-16,49.90000,45.07000,44.69000,44.13000,16.01792,55360.50000,347.80000,2.79000,1788.00000,228.00296
31-Aug-16,50.40000,46.14000,44.75000,44.88000,16.03943,64386.74000,344.70000,2.79000,1785.00000,228.00296
30-Sep-16,50.40000,46.19000,45.20000,45.04000,15.21886,74597.59000,379.90000,2.97000,1934.00000,238.00296
31-Oct-16,51.20000,49.73000,49.89000,49.29000,16.91186,83974.61000,357.50000,2.95000,2282.00000,265.87491
30-Nov-16,51.70000,46.44000,45.57000,45.26000,18.22800,93387.08000,382.80000,2.50000,2410.00000,279.16866
31-Dec-16,51.40000,54.07000,52.01000,52.62000,14.52793,102581.00000,422.30000,3.58000,2878.00000,337.25747
31-Jan-17,51.30000,54.89000,52.51000,53.59000,16.10736,10258.10000,375.47368,3.26000,2720.00000,350.74240
28-Feb-17,51.60000,55.49000,53.40000,54.35000,18.93617,9854.34000,375.47368,2.82000,2860.00000,361.00000
31-Mar-17,51.80000,51.97000,49.58000,50.90000,17.27526,19291.92000,398.70000,2.87000,2564.00000,374.77039
