????? ???? (??),????? ???? (??) shifted,supposed port_warehouse,??? ???? shifted,??? ???? (????)
286074,214674,10513,8357649,9654624
221419,286074,72550,9654624,12316215
351665,221419,913,12316215,14085547
194620,351665,16787,14085547,13503042
233028,194620,40097,13503042,13816292
241680,233028,86482,13816292,11573225
249502,241680,97458,11573225,11197830
271496,249502,68612,11197830,9644341
325086,271496,22820,9644341,10516488
169738,325086,47479,10516488,11045058
288892,169738,32088,11045058,12874586
230284,288892,59144,12874586,14270067
210251,230284,119980,14270067,13877789
218876,210251,169456,13877789,16503742
391638,218876,45484,16503742,18342503
156121,391638,149040,18342503,19108108
345549,156121,59762,19108108,17886690
254583,345549,23335,17886690,16852296
124513,254583,22217,16852296,16479886
228591,124513,35915,16479886,17329103
265773,228591,71616,17329103,16908230
218564,265773,25346,16908230,23636143
242897,218564,85719,23636143,28998748
184624,242897,167027,28998748,29686238
362886,184624,101068,29686238,30309659
345641,362886,51540,30309659,21659522
232895,345641,112846,21659522,20755091
260868,232895,82409,20755091,21665321
146086,260868,96435,21665321,26484906
282889,146086,73093,26484906,26490245
276063,282889,85638,26490245,30210543
211821,276063,47014,30210543,29550488
200250,211821,118633,29550488,30081184
350903,200250,55265,30081184,28194518
193275,350903,146137,28194518,23978145
